the 000
the, 001
the. 002
The 003
and 004
and, 005
and. 006
And 007
of 008
of, 009
of. 00:
Of 00;
to 00<
to, 00=
to. 00>
To 00?
i 00@
i, 00A
i. 00B
I 00C
a 00D
a, 00E
a. 00F
A 00G
in 00H
in, 00I
in. 00J
In 00K
you 00L
you, 00M
you. 00N
You 00O
that 00P
that, 00Q
that. 00R
That 00S
my 00T
my, 00U
my. 00V
My 00W
it 00X
it, 00Y
it. 00Z
It 00[
is 00\
is, 00]
is. 00^
Is 00_
not 00`
not, 00a
not. 00b
Not 00c
for 00d
for, 00e
for. 00f
For 00g
with 00h
with, 00i
with. 00j
With 00k
his 00l
his, 00m
his. 00n
His 00o
be 00p
be, 00q
be. 00r
Be 00s
he 00t
he, 00u
he. 00v
He 00w
as 00x
as, 00y
as. 00z
As 010
but 011
but, 012
but. 013
But 014
this 015
this, 016
this. 017
This 018
me 019
me, 01:
me. 01;
Me 01<
was 01=
was, 01>
was. 01?
Was 01@
your 01A
your, 01B
your. 01C
Your 01D
him 01E
him, 01F
him. 01G
Him 01H
by 01I
by, 01J
by. 01K
By 01L
so 01M
so, 01N
so. 01O
So 01P
haue 01Q
haue, 01R
haue. 01S
Haue 01T
will 01U
will, 01V
will. 01W
Will 01X
on 01Y
on, 01Z
on. 01[
On 01\
thou 01]
thou, 01^
thou. 01_
Thou 01`
her 01a
her, 01b
her. 01c
Her 01d
no 01e
no, 01f
no. 01g
No 01h
what 01i
what, 01j
what. 01k
What 01l
all 01m
all, 01n
all. 01o
All 01p
if 01q
if, 01r
if. 01s
If 01t
then 01u
then, 01v
then. 01w
Then 01x
at 01y
at, 01z
at. 020
At 021
we 022
we, 023
we. 024
We 025
had 026
had, 027
had. 028
Had 029
are 02:
are, 02;
are. 02<
Are 02=
thy 02>
thy, 02?
thy. 02@
Thy 02A
from 02B
from, 02C
from. 02D
From 02E
which 02F
which, 02G
which. 02H
Which 02I
or 02J
or, 02K
or. 02L
Or 02M
shall 02N
shall, 02O
shall. 02P
Shall 02Q
they 02R
they, 02S
they. 02T
They 02U
our 02V
our, 02W
our. 02X
Our 02Y
now 02Z
now, 02[
now. 02\
Now 02]
were 02^
were, 02_
were. 02`
Were 02a
would 02b
would, 02c
would. 02d
Would 02e
more 02f
more, 02g
more. 02h
More 02i
good 02j
good, 02k
good. 02l
Good 02m
thee 02n
thee, 02o
thee. 02p
Thee 02q
their 02r
their, 02s
their. 02t
Their 02u
an 02v
an, 02w
an. 02x
An 02y
lord 02z
lord, 030
lord. 031
Lord 032
do 033
do, 034
do. 035
Do 036
one 037
one, 038
one. 039
One 03:
sir 03;
sir, 03<
sir. 03=
Sir 03>
there 03?
there, 03@
there. 03A
There 03B
them 03C
them, 03D
them. 03E
Them 03F
when 03G
when, 03H
when. 03I
When 03J
enter 03K
enter, 03L
enter. 03M
Enter 03N
come 03O
come, 03P
come. 03Q
Come 03R
king 03S
king, 03T
king. 03U
King 03V
she 03W
she, 03X
she. 03Y
She 03Z
well 03[
well, 03\
well. 03]
Well 03^
how 03_
how, 03`
how. 03a
How 03b
man 03c
man, 03d
man. 03e
Man 03f
am 03g
am, 03h
am. 03i
Am 03j
let 03k
let, 03l
let. 03m
Let 03n
out 03o
out, 03p
out. 03q
Out 03r
did 03s
did, 03t
did. 03u
Did 03v
may 03w
may, 03x
may. 03y
May 03z
like 040
like, 041
like. 042
Like 043
who 044
who, 045
who. 046
Who 047
should 048
should, 049
should. 04:
Should 04;
make 04<
make, 04=
make. 04>
Make 04?
loue 04@
loue, 04A
loue. 04B
Loue 04C
hath 04D
hath, 04E
hath. 04F
Hath 04G
say 04H
say, 04I
say. 04J
Say 04K
some 04L
some, 04M
some. 04N
Some 04O
know 04P
know, 04Q
know. 04R
Know 04S
such 04T
such, 04U
such. 04V
Such 04W
yet 04X
yet, 04Y
yet. 04Z
Yet 04[
must 04\
must, 04]
must. 04^
Must 04_
see 04`
see, 04a
see. 04b
See 04c
these 04d
these, 04e
these. 04f
These 04g
ile 04h
ile, 04i
ile. 04j
Ile 04k
time 04l
time, 04m
time. 04n
Time 04o
vpon 04p
vpon, 04q
vpon. 04r
Vpon 04s
vs 04t
vs, 04u
vs. 04v
Vs 04w
any 04x
any, 04y
any. 04z
Any 050
can 051
can, 052
can. 053
Can 054
why 055
why, 056
why. 057
Why 058
too 059
too, 05:
too. 05;
Too 05<
where 05=
where, 05>
where. 05?
Where 05@
most 05A
most, 05B
most. 05C
Most 05D
selfe 05E
selfe, 05F
selfe. 05G
Selfe 05H
have 05I
have, 05J
have. 05K
Have 05L
men 05M
men, 05N
men. 05O
Men 05P
take 05Q
take, 05R
take. 05S
Take 05T
could 05U
could, 05V
could. 05W
Could 05X
doe 05Y
doe, 05Z
doe. 05[
Doe 05\
much 05]
much, 05^
much. 05_
Much 05`
made 05a
made, 05b
made. 05c
Made 05d
o 05e
o, 05f
o. 05g
O 05h
heere 05i
heere, 05j
heere. 05k
Heere 05l
giue 05m
giue, 05n
giue. 05o
Giue 05p
'tis 05q
'tis, 05r
'tis. 05s
tis 05t
other 05u
other, 05v
other. 05w
Other 05x
great 05y
great, 05z
great. 060
Great 061
before 062
before, 063
before. 064
Before 065
been 066
been, 067
been. 068
Been 069
go 06:
go, 06;
go. 06<
Go 06=
very 06>
very, 06?
very. 06@
Very 06A
into 06B
into, 06C
into. 06D
Into 06E
mine 06F
mine, 06G
mine. 06H
Mine 06I
nor 06J
nor, 06K
nor. 06L
Nor 06M
day 06N
day, 06O
day. 06P
Day 06Q
death 06R
death, 06S
death. 06T
Death 06U
tell 06V
tell, 06W
tell. 06X
Tell 06Y
two 06Z
two, 06[
two. 06\
Two 06]
speake 06^
speake, 06_
speake. 06`
Speake 06a
hand 06b
hand, 06c
hand. 06d
Hand 06e
vp 06f
vp, 06g
vp. 06h
Vp 06i
here 06j
here, 06k
here. 06l
Here 06m
against 06n
against, 06o
against. 06p
Against 06q
neuer 06r
neuer, 06s
neuer. 06t
Neuer 06u
first 06v
first, 06w
first. 06x
First 06y
thinke 06z
thinke, 070
thinke. 071
Thinke 072
life 073
life, 074
life. 075
Life 076
being 077
being, 078
being. 079
Being 07:
away 07;
away, 07<
away. 07=
Away 07>
oh 07?
oh, 07@
oh. 07A
Oh 07B
heart 07C
heart, 07D
heart. 07E
Heart 07F
thus 07G
thus, 07H
thus. 07I
Thus 07J
though 07K
though, 07L
though. 07M
Though 07N
old 07O
old, 07P
old. 07Q
Old 07R
art 07S
art, 07T
art. 07U
Art 07V
both 07W
both, 07X
both. 07Y
Both 07Z
england 07[
england, 07\
england. 07]
England 07^
night 07_
night, 07`
night. 07a
Night 07b
true 07c
true, 07d
true. 07e
True 07f
father 07g
father, 07h
father. 07i
Father 07j
cannot 07k
cannot, 07l
cannot. 07m
Cannot 07n
heare 07o
heare, 07p
heare. 07q
Heare 07r
said 07s
said, 07t
said. 07u
Said 07v
way 07w
way, 07x
way. 07y
Way 07z
might 080
might, 081
might. 082
Might 083
duke 084
duke, 085
duke. 086
Duke 087
after 088
after, 089
after. 08:
After 08;
nothing 08<
nothing, 08=
nothing. 08>
Nothing 08?
still 08@
still, 08A
still. 08B
Still 08C
those 08D
those, 08E
those. 08F
Those 08G
henry 08H
henry, 08I
henry. 08J
Henry 08K
doth 08L
doth, 08M
doth. 08N
Doth 08O
about 08P
about, 08Q
about. 08R
About 08S
looke 08T
looke, 08U
looke. 08V
Looke 08W
done 08X
done, 08Y
done. 08Z
Done 08[
little 08\
little, 08]
little. 08^
Little 08_
part 08`
part, 08a
part. 08b
Part 08c
france 08d
france, 08e
france. 08f
France 08g
while 08h
while, 08i
while. 08j
While 08k
long 08l
long, 08m
long. 08n
Long 08o
goe 08p
goe, 08q
goe. 08r
Goe 08s
english 08t
english, 08u
english. 08v
English 08w
till 08x
till, 08y
till. 08z
Till 090
world 091
world, 092
world. 093
World 094
god 095
god, 096
god. 097
God 098
name 099
name, 09:
name. 09;
Name 09<
againe 09=
againe, 09>
againe. 09?
Againe 09@
hast 09A
hast, 09B
hast. 09C
Hast 09D
without 09E
without, 09F
without. 09G
Without 09H
sidenote 09I
sidenote, 09J
sidenote. 09K
Sidenote 09L
owne 09M
owne, 09N
owne. 09O
Owne 09P
therefore 09Q
therefore, 09R
therefore. 09S
Therefore 09T
many 09U
many, 09V
many. 09W
Many 09X
pray 09Y
pray, 09Z
pray. 09[
Pray 09\
head 09]
head, 09^
head. 09_
Head 09`
than 09a
than, 09b
than. 09c
Than 09d
new 09e
new, 09f
new. 09g
New 09h
better 09i
better, 09j
better. 09k
Better 09l
heauen 09m
heauen, 09n
heauen. 09o
Heauen 09p
faire 09q
faire, 09r
faire. 09s
Faire 09t
exeunt 09u
exeunt, 09v
exeunt. 09w
Exeunt 09x
hee 09y
hee, 09z
hee. 0:0
Hee 0:1
off 0:2
off, 0:3
off. 0:4
Off 0:5
lady 0:6
lady, 0:7
lady. 0:8
Lady 0:9
eyes 0::
eyes, 0:;
eyes. 0:<
Eyes 0:=
noble 0:>
noble, 0:?
noble. 0:@
Noble 0:A
euer 0:B
euer, 0:C
euer. 0:D
Euer 0:E
leaue 0:F
leaue, 0:G
leaue. 0:H
Leaue 0:I
peace 0:J
peace, 0:K
peace. 0:L
Peace 0:M
put 0:N
put, 0:O
put. 0:P
Put 0:Q
master 0:R
master, 0:S
master. 0:T
Master 0:U
since 0:V
since, 0:W
since. 0:X
Since 0:Y
blood 0:Z
blood, 0:[
blood. 0:\
Blood 0:]
rich 0:^
rich, 0:_
rich. 0:`
Rich 0:a
brother 0:b
brother, 0:c
brother. 0:d
Brother 0:e
house 0:f
house, 0:g
house. 0:h
House 0:i
right 0:j
right, 0:k
right. 0:l
Right 0:m
comes 0:n
comes, 0:o
comes. 0:p
Comes 0:q
sweet 0:r
sweet, 0:s
sweet. 0:t
Sweet 0:u
feare 0:v
feare, 0:w
feare. 0:x
Feare 0:y
dead 0:z
dead, 0;0
dead. 0;1
Dead 0;2
its 0;3
its, 0;4
its. 0;5
Its 0;6
thing 0;7
thing, 0;8
thing. 0;9
Thing 0;:
set 0;;
set, 0;<
set. 0;=
Set 0;>
poore 0;?
poore, 0;@
poore. 0;A
Poore 0;B
state 0;C
state, 0;D
state. 0;E
State 0;F
stand 0;G
stand, 0;H
stand. 0;I
Stand 0;J
nay 0;K
nay, 0;L
nay. 0;M
Nay 0;N
downe 0;O
downe, 0;P
downe. 0;Q
Downe 0;R
only 0;S
only, 0;T
only. 0;U
Only 0;V
call 0;W
call, 0;X
call. 0;Y
Call 0;Z
grace 0;[
grace, 0;\
grace. 0;]
Grace 0;^
place 0;_
place, 0;`
place. 0;a
Place 0;b
boy 0;c
boy, 0;d
boy. 0;e
Boy 0;f
last 0;g
last, 0;h
last. 0;i
Last 0;j
wife 0;k
wife, 0;l
wife. 0;m
Wife 0;n
friends 0;o
friends, 0;p
friends. 0;q
Friends 0;r
three 0;s
three, 0;t
three. 0;u
Three 0;v
once 0;w
once, 0;x
once. 0;y
Once 0;z
sonne 0<0
sonne, 0<1
sonne. 0<2
Sonne 0<3
came 0<4
came, 0<5
came. 0<6
Came 0<7
word 0<8
word, 0<9
word. 0<:
Word 0<;
within 0<<
within, 0<=
within. 0<>
Within 0<?
hold 0<@
hold, 0<A
hold. 0<B
Hold 0<C
best 0<D
best, 0<E
best. 0<F
Best 0<G
prince 0<H
prince, 0<I
prince. 0<J
Prince 0<K
whom 0<L
whom, 0<M
whom. 0<N
Whom 0<O
own 0<P
own, 0<Q
own. 0<R
Own 0<S
th' 0<T
th', 0<U
th'. 0<V
Th' 0<W
none 0<X
none, 0<Y
none. 0<Z
None 0<[
euen 0<\
euen, 0<]
euen. 0<^
Euen 0<_
end 0<`
end, 0<a
end. 0<b
End 0<c
another 0<d
another, 0<e
another. 0<f
Another 0<g
has 0<h
has, 0<i
has. 0<j
Has 0<k
beare 0<l
beare, 0<m
beare. 0<n
Beare 0<o
full 0<p
full, 0<q
full. 0<r
Full 0<s
liue 0<t
liue, 0<u
liue. 0<v
Liue 0<w
enough 0<x
enough, 0<y
enough. 0<z
Enough 0=0
power 0=1
power, 0=2
power. 0=3
Power 0=4
thought 0=5
thought, 0=6
thought. 0=7
Thought 0=8
lords 0=9
lords, 0=:
lords. 0=;
Lords 0=<
get 0==
get, 0=>
get. 0=?
Get 0=@
face 0=A
face, 0=B
face. 0=C
Face 0=D
whose 0=E
whose, 0=F
whose. 0=G
Whose 0=H
queene 0=I
queene, 0=J
queene. 0=K
Queene 0=L
ant 0=M
ant, 0=N
ant. 0=O
Ant 0=P
ere 0=Q
ere, 0=R
ere. 0=S
Ere 0=T
gone 0=U
gone, 0=V
gone. 0=W
Gone 0=X
mee 0=Y
mee, 0=Z
mee. 0=[
Mee 0=\
same 0=]
same, 0=^
same. 0=_
Same 0=`
bring 0=a
bring, 0=b
bring. 0=c
Bring 0=d
up 0=e
up, 0=f
up. 0=g
Up 0=h
iohn 0=i
iohn, 0=j
iohn. 0=k
Iohn 0=l
matter 0=m
matter, 0=n
matter. 0=o
Matter 0=p
found 0=q
found, 0=r
found. 0=s
Found 0=t
clo 0=u
clo, 0=v
clo. 0=w
Clo 0=x
through 0=y
through, 0=z
through. 0>0
Through 0>1
that's 0>2
that's, 0>3
that's. 0>4
That's 0>5
friend 0>6
friend, 0>7
friend. 0>8
Friend 0>9
hands 0>:
hands, 0>;
hands. 0><
Hands 0>=
words 0>>
words, 0>?
words. 0>@
Words 0>A
else 0>B
else, 0>C
else. 0>D
Else 0>E
heard 0>F
heard, 0>G
heard. 0>H
Heard 0>I
daughter 0>J
daughter, 0>K
daughter. 0>L
Daughter 0>M
keepe 0>N
keepe, 0>O
keepe. 0>P
Keepe 0>Q
madam 0>R
madam, 0>S
madam. 0>T
Madam 0>U
law 0>V
law, 0>W
law. 0>X
Law 0>Y
euery 0>Z
euery, 0>[
euery. 0>\
Euery 0>]
cause 0>^
cause, 0>_
cause. 0>`
Cause 0>a
hope 0>b
hope, 0>c
hope. 0>d
Hope 0>e
vnto 0>f
vnto, 0>g
vnto. 0>h
Vnto 0>i
rather 0>j
rather, 0>k
rather. 0>l
Rather 0>m
caesar 0>n
caesar, 0>o
caesar. 0>p
Caesar 0>q
please 0>r
please, 0>s
please. 0>t
Please 0>u
finde 0>v
finde, 0>w
finde. 0>x
Finde 0>y
french 0>z
french, 0?0
french. 0?1
French 0?2
under 0?3
under, 0?4
under. 0?5
Under 0?6
however 0?7
however, 0?8
however. 0?9
However 0?:
soule 0?;
soule, 0?<
soule. 0?=
Soule 0?>
free 0??
free, 0?@
free. 0?A
Free 0?B
stay 0?C
stay, 0?D
stay. 0?E
Stay 0?F
himselfe 0?G
himselfe, 0?H
himselfe. 0?I
Himselfe 0?J
foole 0?K
foole, 0?L
foole. 0?M
Foole 0?N
home 0?O
home, 0?P
home. 0?Q
Home 0?R
war 0?S
war, 0?T
war. 0?U
War 0?V
people 0?W
people, 0?X
people. 0?Y
People 0?Z
thine 0?[
thine, 0?\
thine. 0?]
Thine 0?^
forth 0?_
forth, 0?`
forth. 0?a
Forth 0?b
himself 0?c
himself, 0?d
himself. 0?e
Himself 0?f
honor 0?g
honor, 0?h
honor. 0?i
Honor 0?j
things 0?k
things, 0?l
things. 0?m
Things 0?n
eye 0?o
eye, 0?p
eye. 0?q
Eye 0?r
tongue 0?s
tongue, 0?t
tongue. 0?u
Tongue 0?v
mother 0?w
mother, 0?x
mother. 0?y
Mother 0?z
rest 0@0
rest, 0@1
rest. 0@2
Rest 0@3
high 0@4
high, 0@5
high. 0@6
High 0@7
yorke 0@8
yorke, 0@9
yorke. 0@:
Yorke 0@;
elizabeth 0@<
elizabeth, 0@=
elizabeth. 0@>
Elizabeth 0@?
hence 0@@
hence, 0@A
hence. 0@B
Hence 0@C
left 0@D
left, 0@E
left. 0@F
Left 0@G
even 0@H
even, 0@I
even. 0@J
Even 0@K
lay 0@L
lay, 0@M
lay. 0@N
Lay 0@O
us 0@P
us, 0@Q
us. 0@R
Us 0@S
qu 0@T
qu, 0@U
qu. 0@V
Qu 0@W
least 0@X
least, 0@Y
least. 0@Z
Least 0@[
light 0@\
light, 0@]
light. 0@^
Light 0@_
there's 0@`
there's, 0@a
there's. 0@b
There's 0@c
fall 0@d
fall, 0@e
fall. 0@f
Fall 0@g
rome 0@h
rome, 0@i
rome. 0@j
Rome 0@k
court 0@l
court, 0@m
court. 0@n
Court 0@o
each 0@p
each, 0@q
each. 0@r
Each 0@s
indeed 0@t
indeed, 0@u
indeed. 0@v
Indeed 0@w
mary 0@x
mary, 0@y
mary. 0@z
Mary 0A0
mr 0A1
mr, 0A2
mr. 0A3
Mr 0A4
marriage 0A5
marriage, 0A6
marriage. 0A7
Marriage 0A8
gentle 0A9
gentle, 0A:
gentle. 0A;
Gentle 0A<
sent 0A=
sent, 0A>
sent. 0A?
Sent 0A@
makes 0AA
makes, 0AB
makes. 0AC
Makes 0AD
gods 0AE
gods, 0AF
gods. 0AG
Gods 0AH
course 0AI
course, 0AJ
course. 0AK
Course 0AL
nature 0AM
nature, 0AN
nature. 0AO
Nature 0AP
beene 0AQ
beene, 0AR
beene. 0AS
Beene 0AT
present 0AU
present, 0AV
present. 0AW
Present 0AX
thousand 0AY
thousand, 0AZ
thousand. 0A[
Thousand 0A\
sea 0A]
sea, 0A^
sea. 0A_
Sea 0A`
whole 0Aa
whole, 0Ab
whole. 0Ac
Whole 0Ad
because 0Ae
because, 0Af
because. 0Ag
Because 0Ah
saw 0Ai
saw, 0Aj
saw. 0Ak
Saw 0Al
woman 0Am
woman, 0An
woman. 0Ao
Woman 0Ap
exit 0Aq
exit, 0Ar
exit. 0As
Exit 0At
gentleman 0Au
gentleman, 0Av
gentleman. 0Aw
Gentleman 0Ax
welcome 0Ay
welcome, 0Az
welcome. 0B0
Welcome 0B1
page 0B2
page, 0B3
page. 0B4
Page 0B5
iago 0B6
iago, 0B7
iago. 0B8
Iago 0B9
ham 0B:
ham, 0B;
ham. 0B<
Ham 0B=
play 0B>
play, 0B?
play. 0B@
Play 0BA
sword 0BB
sword, 0BC
sword. 0BD
Sword 0BE
truth 0BF
truth, 0BG
truth. 0BH
Truth 0BI
lost 0BJ
lost, 0BK
lost. 0BL
Lost 0BM
reason 0BN
reason, 0BO
reason. 0BP
Reason 0BQ
fellow 0BR
fellow, 0BS
fellow. 0BT
Fellow 0BU
side 0BV
side, 0BW
side. 0BX
Side 0BY
pardon 0BZ
pardon, 0B[
pardon. 0B\
Pardon 0B]
country 0B^
country, 0B_
country. 0B`
Country 0Ba
follow 0Bb
follow, 0Bc
follow. 0Bd
Follow 0Be
sure 0Bf
sure, 0Bg
sure. 0Bh
Sure 0Bi
fire 0Bj
fire, 0Bk
fire. 0Bl
Fire 0Bm
answer 0Bn
answer, 0Bo
answer. 0Bp
Answer 0Bq
fal 0Br
fal, 0Bs
fal. 0Bt
Fal 0Bu
bid 0Bv
bid, 0Bw
bid. 0Bx
Bid 0By
almost 0Bz
almost, 0C0
almost. 0C1
Almost 0C2
pro 0C3
pro, 0C4
pro. 0C5
Pro 0C6
fortune 0C7
fortune, 0C8
fortune. 0C9
Fortune 0C:
what's 0C;
what's, 0C<
what's. 0C=
What's 0C>
bed 0C?
bed, 0C@
bed. 0CA
Bed 0CB
over 0CC
over, 0CD
over. 0CE
Over 0CF
queen 0CG
queen, 0CH
queen. 0CI
Queen 0CJ
husband 0CK
husband, 0CL
husband. 0CM
Husband 0CN
morrow 0CO
morrow, 0CP
morrow. 0CQ
Morrow 0CR
shew 0CS
shew, 0CT
shew. 0CU
Shew 0CV
land 0CW
land, 0CX
land. 0CY
Land 0CZ
question 0C[
question, 0C\
question. 0C]
Question 0C^
bee 0C_
bee, 0C`
bee. 0Ca
Bee 0Cb
mar 0Cc
mar, 0Cd
mar. 0Ce
Mar 0Cf
letter 0Cg
letter, 0Ch
letter. 0Ci
Letter 0Cj
spirit 0Ck
spirit, 0Cl
spirit. 0Cm
Spirit 0Cn
whether 0Co
whether, 0Cp
whether. 0Cq
Whether 0Cr
yours 0Cs
yours, 0Ct
yours. 0Cu
Yours 0Cv
honest 0Cw
honest, 0Cx
honest. 0Cy
Honest 0Cz
meane 0D0
meane, 0D1
meane. 0D2
